"Digisoftech Configuration","Digisoftech Configuration"
"Configuration","Configuration"
"License & Support","License & Support"
"License Key","License Key"
"Enter your Digisoftech license key. The key is stored encrypted and verified securely against composer.digisoftech.com when saved.","Enter your Digisoftech license key. The key is stored encrypted and verified securely against composer.digisoftech.com when saved."
"Installed Extensions","Installed Extensions"
"Active Support","Active Support"
"Expired Support","Expired Support"
"Enter your Digisoftech license key above and save configuration to verify module support status.","Enter your Digisoftech license key above and save configuration to verify module support status."
"Unable to verify license status.","Unable to verify license status."
"License status verified successfully.","License status verified successfully."
"Refresh Status","Refresh Status"
"Purchase License","Purchase License"
"Extension","Extension"
"Version","Version"
"License","License"
"Support","Support"
"Support Expires","Support Expires"
"Action","Action"
"No Digisoftech extensions are installed.","No Digisoftech extensions are installed."
"Active","Active"
"Expired","Expired"
"Unknown","Unknown"
"No action required","No action required"
"N/A","N/A"
"Please enter a license key before verifying.","Please enter a license key before verifying."
"Unable to verify the license at this time. Please try again later.","Unable to verify the license at this time. Please try again later."
"The license server returned an empty response.","The license server returned an empty response."
"Unable to connect to the Digisoftech license server. Please try again later.","Unable to connect to the Digisoftech license server. Please try again later."
"Unable to refresh license status.","Unable to refresh license status."
"The license key could not be verified.","The license key could not be verified."
